body,title
"En los baños públicos pueden hallarse distintos virus y bacterias, pero no es necesariamente el lugar donde más se los encuentra. Un sólo centímetro cúbico de una esponja de cocina puede albergar hasta 50.000 millones de gérmenes, más de los que se encuentran en la taza del inodoro, según concluyeron científicos de la Universidad de Furtwangen en Alemania.",
"El formulario sigue siendo el mismo que el de la primera etapa, en el que para inscribirse había que respetar las fechas según terminación del DNI. Todas las personas que quieran continuar recibiendo el beneficio deberán anotarse, incluso titulares de ANSeS que incluye a jubilados, pensionados, beneficiarios de Asignación Universal por Hijo (AUH), por Embarazo (AUE), Progresar o Potenciar Trabajo.","Subsidios a la luz y el gas: paso por paso, ANSeS explica cómo completar el formulario"
" Hacen lo que pueden Argentinos y San Lorenzo. Luchan contra la carencia, contra la crisis económica, contra los poderosos de países vecinos o de Europa que seducen a sus productos con dólares brillosos. Desde ahí se podría explicar el pobrísimo primer tiempo que jugaron en La Paternal. Un partido que se ajusta al decir popular que señala que ""tendrían que devolver la plata de la entrada"".","Vombergar, con cuatro minutos en cancha, se convirtió en el héroe de un San Lorenzo que bajó a Argentinos"
" La cita es en el Teatro Seminari Cine Italia, ubicado en Mitre 451, en Belén de Escobar. “Nos parecía una linda excusa el hecho que se estrenara la película animada DC Liga de Supermascotas para acondicionar nuestra sala de cine y hacer tres funciones pet friendly”, explica Ariel Lovizio, Subsecretario de Promoción Cultural y Turismo.",Cómo será la primera función de cine para perros en Argentina
 Daniel Falcón,¿Es confiable la medición de la pobreza?
"Todo comenzó el 7 de enero de 2019 cuando Zaida Mamani declaró haber salido al cajero automático y, al volver a su casa, encontró a su hija agonizando. Muchas de las puñaladas habían sido en el rostro de la nena, lo cual da cuenta de la ferocidad del ataque. ","La acusan de haber matado a su hija de 42 puñaladas, pero el caso jamás se investigó"
"Las pericias determinaron que Maturano había sido golpeado en la cara y torturado. Le encontraron rastros de golpes, impactos de arma de fuego e incluso quemaduras realizadas con colillas de cigarrillo en la cara.","Lo bajaron de un auto atado con cables y sogas, lo pusieron de rodillas y lo acribilla: investigan un ajuste"
"Eduardo Alberto Made (67) está acusado de ""corrupción de menores y trata de personas con fines de explotación sexual agravada"" por haber captado a siete adolescentes de entre 15 y 19 años a las que engañaba para abusar de ellas en el Hotel Sheraton de Tucumán, al menos entre enero y mayo de 2022. ",Lujo en Miami y abusos a chicas en Tucumán: la doble vida del empresario
"En medio del remolino, ni la AFIP ni el Banco Central fueron para Massa. La recaudación se la aseguró Cristina a través de Carlos Castagneto que ya era funcionario del organismo, pero sobre todo fiel compañero de la Hermana Alicia, tanto en el Ministerio de Desarrollo Social como en Kolina. Y por ahora, Miguel Pesce sigue en el Central.","“Jugá vos”, el mensaje de Cristina a Massa y la inquietante metáfora futbolera de su entorno"
"Otro factor fue la suba de tasas de interés que fijó el Banco Central este jueves (del 52 al 60%), lo que tiene un impacto directo en los depósitos a plazo fijo en pesos. Por ejemplo, en el caso de los depósitos de hasta $10 millones, representa un rendimiento anual efectivo del 81,3%. Para montos menores, la tasa es menor (54%), pero garantiza al ahorrista un retorno anual del 69,6%. El menú para defender el dinero es amplio y,a pedido de Clarín, los expertos en finanzas analizaron las principales alternativas de inversión. Lo que sigue es una síntesis de sus conclusiones.",Claves para defender los pesos en medio de la incertidumbre y la crisis financiera
